cycle,branch,expression,forecastdate,chamber_Dparty,chamber_Rparty,mean_seats_Dparty,mean_seats_Rparty,median_seats_Dparty,median_seats_Rparty,p90_seats_Dparty,p90_seats_Rparty,p10_seats_Dparty,p10_seats_Rparty,total_national_turnout,p90_total_national_turnout,p10_total_national_turnout,popvote_margin,p90_popvote_margin,p10_popvote_margin,statesmajority_Dparty,statesmajority_Rparty,statesmajority_noparty,delegations_Dparty,delegations_Rparty,delegations_nomajority,simulations,timestamp
2022,House,_deluxe,7/8/22,.13295,.86705,198.8132,236.1868,200,235,220,259,176,215,9.94e+07,1.07e+08,9.21e+07,-6.009556,-.1371918,-11.89591,,,,,,,40000,20:10:33  8 Jul 2022
2022,House,_deluxe,7/7/22,.137325,.862675,199.1885,235.8115,200,235,220,258,177,215,9.94e+07,1.07e+08,9.21e+07,-5.925468,.0258179,-11.79361,,,,,,,40000,20:10:16  7 Jul 2022
2022,House,_deluxe,7/6/22,.13905,.86095,199.407,235.593,200,235,220,258,177,215,9.94e+07,1.07e+08,9.20e+07,-5.916969,.0037479,-11.75517,,,,,,,40000,20:10:27  6 Jul 2022
2022,House,_deluxe,7/5/22,.1347,.8653,198.9712,236.0287,200,235,220,259,176,215,9.88e+07,1.06e+08,9.15e+07,-5.968452,-.0862255,-11.91245,,,,,,,40000,20:32:45  5 Jul 2022
2022,House,_deluxe,7/4/22,.1268,.8732,198.7427,236.2572,200,235,220,259,176,215,9.88e+07,1.06e+08,9.16e+07,-6.151508,-.3112354,-11.96335,,,,,,,40000,20:44:02  4 Jul 2022
2022,House,_deluxe,7/3/22,.129275,.870725,198.6467,236.3533,200,235,220,259,176,215,9.88e+07,1.06e+08,9.14e+07,-6.063972,-.1621494,-11.97022,,,,,,,40000,20:13:30  3 Jul 2022
2022,House,_deluxe,7/2/22,.128675,.871325,198.6925,236.3075,200,235,220,259,176,215,9.88e+07,1.06e+08,9.15e+07,-6.070465,-.1799793,-11.93166,,,,,,,40000,20:13:08  2 Jul 2022
2022,House,_deluxe,7/1/22,.130775,.869225,198.6748,236.3252,200,235,220,259,176,215,9.88e+07,1.06e+08,9.15e+07,-6.076122,-.1257191,-11.97948,,,,,,,40000,20:13:01  1 Jul 2022
2022,House,_deluxe,6/30/22,.12595,.87405,198.4444,236.5556,200,235,220,259,176,215,9.88e+07,1.06e+08,9.17e+07,-6.160053,-.2398338,-12.02798,,,,,,,40000,20:51:20 30 Jun 2022
2022,House,_deluxe,6/29/22,.12225,.87775,197.1695,237.8305,198,237,220,261,174,215,9.88e+07,1.06e+08,9.15e+07,-5.992325,-.0492287,-11.90742,,,,,,,40000,22:11:20 29 Jun 2022
2022,House,_deluxe,6/26/22,.117075,.882925,196.9277,238.0723,198,237,219,261,174,216,9.83e+07,1.06e+08,9.10e+07,-6.256413,-.3182716,-12.20256,,,,,,,40000,11:19:59 29 Jun 2022
2022,House,_deluxe,6/25/22,.118125,.881875,196.7462,238.2538,198,237,219,261,174,216,9.83e+07,1.06e+08,9.10e+07,-6.342258,-.378149,-12.38557,,,,,,,40000,12:03:45 29 Jun 2022
2022,House,_deluxe,6/24/22,.12025,.87975,196.9326,238.0673,198,237,219,261,174,216,9.83e+07,1.06e+08,9.10e+07,-6.254322,-.2523251,-12.24719,,,,,,,40000,11:37:32 29 Jun 2022
2022,House,_deluxe,6/22/22,.1193,.8807,196.9193,238.0807,198,237,219,261,174,216,9.83e+07,1.06e+08,9.10e+07,-6.276016,-.2971992,-12.23765,,,,,,,40000,11:38:08 29 Jun 2022
2022,House,_deluxe,6/21/22,.12395,.87605,197.1718,237.8282,198,237,219,261,174,216,9.83e+07,1.06e+08,9.10e+07,-6.191177,-.2013054,-12.20067,,,,,,,40000,12:22:16 29 Jun 2022
2022,House,_deluxe,6/19/22,.1213,.8787,196.8163,238.1837,197.5,237.5,219,261,174,216,9.80e+07,1.05e+08,9.08e+07,-6.239262,-.1884079,-12.28902,,,,,,,40000,11:56:12 29 Jun 2022
2022,House,_deluxe,6/18/22,.1213,.8787,196.9838,238.0162,198,237,219,261,174,216,9.80e+07,1.05e+08,9.07e+07,-6.237995,-.1437931,-12.21554,,,,,,,40000,11:55:44 29 Jun 2022
2022,House,_deluxe,6/17/22,.121525,.878475,196.8621,238.1379,197,238,219,261,174,216,9.80e+07,1.05e+08,9.07e+07,-6.214149,-.1843681,-12.24431,,,,,,,40000,12:40:38 29 Jun 2022
2022,House,_deluxe,6/15/22,.122175,.877825,196.7336,238.2664,197,238,219,262,173,216,9.80e+07,1.05e+08,9.07e+07,-6.365837,-.2061348,-12.35874,,,,,,,40000,12:14:19 29 Jun 2022
2022,House,_deluxe,6/14/22,.125025,.874975,198.3217,236.6783,200,235,219,260,175,216,9.80e+07,1.05e+08,9.08e+07,-6.537514,-.4890671,-12.6635,,,,,,,40000,12:13:39 29 Jun 2022
2022,House,_deluxe,6/13/22,.130225,.869775,198.7455,236.2545,200,235,220,259,176,215,9.75e+07,1.05e+08,9.02e+07,-6.558113,-.4841499,-12.64469,,,,,,,40000,12:58:34 29 Jun 2022
2022,House,_deluxe,6/11/22,.129575,.870425,198.711,236.289,200,235,220,259,176,215,9.75e+07,1.05e+08,9.02e+07,-6.503925,-.4419823,-12.63447,,,,,,,40000,12:32:30 29 Jun 2022
2022,House,_deluxe,6/10/22,.1283,.8717,198.605,236.3949,200,235,220,259,176,215,9.75e+07,1.05e+08,9.02e+07,-6.500622,-.3988419,-12.62576,,,,,,,40000,12:31:52 29 Jun 2022
2022,House,_deluxe,6/9/22,.12845,.87155,198.7307,236.2692,200,235,220,259,176,215,9.75e+07,1.05e+08,9.02e+07,-6.444016,-.3652935,-12.51482,,,,,,,40000,13:16:38 29 Jun 2022
2022,House,_deluxe,6/7/22,.132575,.867425,198.5518,236.4482,200,235,220,260,175,215,9.75e+07,1.05e+08,9.03e+07,-6.472851,-.3016605,-12.61822,,,,,,,40000,12:50:50 29 Jun 2022
2022,House,_deluxe,6/6/22,.1331,.8669,198.7771,236.2229,200,235,220,259,176,215,9.76e+07,1.05e+08,9.04e+07,-6.444363,-.3194561,-12.50575,,,,,,,40000,12:49:58 29 Jun 2022
2022,House,_deluxe,6/5/22,.13925,.86075,199.3257,235.6743,201,234,220,258,177,215,9.76e+07,1.05e+08,9.03e+07,-6.338654,-.1630936,-12.37961,,,,,,,40000,13:34:55 29 Jun 2022
2022,House,_deluxe,6/3/22,.14115,.858825,199.1486,235.8513,200,235,221,259,176,214,9.76e+07,1.05e+08,9.04e+07,-6.251274,-.0222359,-12.36488,,,,,,,40000,13:08:55 29 Jun 2022
2022,House,_deluxe,6/2/22,.141925,.85805,200.4178,234.5822,202,233,220,257,178,215,9.76e+07,1.05e+08,9.04e+07,-6.403397,-.2235088,-12.59752,,,,,,,40000,13:07:40 29 Jun 2022
2022,House,_deluxe,6/1/22,.141975,.858025,200.548,234.4519,202,233,220,257,178,215,9.76e+07,1.05e+08,9.02e+07,-6.403297,-.262558,-12.5689,,,,,,,40000,13:53:05 29 Jun 2022
2022,House,_classic,8/4/22,.195775,.804225,201.5277,233.4723,202,233,225,258,177,210,9.72e+07,1.05e+08,8.99e+07,-4.283356,1.394655,-9.961647,,,,,,,40000,10:25:35  4 Aug 2022
2022,House,_classic,8/3/22,.1939,.8061,201.5441,233.4559,202,233,225,258,177,210,9.72e+07,1.05e+08,8.98e+07,-4.305893,1.383696,-9.896479,,,,,,,40000,20:52:45  3 Aug 2022
2022,House,_classic,8/2/22,.172825,.827175,200.1059,234.8941,201,234,223,259,176,212,9.75e+07,1.05e+08,9.02e+07,-4.500729,1.14094,-10.18007,,,,,,,40000,20:53:27  2 Aug 2022
2022,House,_classic,8/1/22,.17065,.82935,199.8864,235.1136,200,235,224,260,175,211,9.75e+07,1.05e+08,9.01e+07,-4.502529,1.182783,-10.18111,,,,,,,40000,20:39:38  1 Aug 2022
2022,House,_classic,7/31/22,.170675,.829325,199.8475,235.1525,200,235,223,259,176,212,9.75e+07,1.05e+08,9.01e+07,-4.583462,1.127089,-10.20338,,,,,,,40000,20:11:29 31 Jul 2022
2022,House,_classic,7/30/22,.172,.828,199.7992,235.2008,200,235,223,260,175,212,9.75e+07,1.05e+08,9.02e+07,-4.442017,1.285179,-10.18258,,,,,,,40000,20:12:24 30 Jul 2022
2022,House,_classic,7/29/22,.1703,.8297,199.8158,235.1842,200,235,223,259,176,212,9.75e+07,1.05e+08,9.01e+07,-4.454132,1.229832,-10.10055,,,,,,,40000,21:01:25 29 Jul 2022
2022,House,_classic,7/28/22,.173125,.826875,199.9303,235.0696,201,234,223,260,175,212,9.75e+07,1.05e+08,9.02e+07,-4.571327,1.148401,-10.25691,,,,,,,40000,21:36:57 28 Jul 2022
2022,House,_classic,7/27/22,.168425,.831575,199.6856,235.3144,200,235,223,260,175,212,9.75e+07,1.05e+08,9.01e+07,-4.596062,1.105391,-10.32489,,,,,,,40000,20:31:21 27 Jul 2022
2022,House,_classic,7/26/22,.1642,.8358,199.1946,235.8054,200,235,223,261,174,212,9.85e+07,1.06e+08,9.12e+07,-4.733459,.9435177,-10.51973,,,,,,,40000,20:43:20 26 Jul 2022
2022,House,_classic,7/25/22,.150775,.849225,198.3077,236.6923,199,236,222,261,174,213,9.85e+07,1.06e+08,9.12e+07,-5.003632,.6644077,-10.70176,,,,,,,40000,21:00:44 25 Jul 2022
2022,House,_classic,7/24/22,.153825,.846175,198.5163,236.4837,199,236,222,261,174,213,9.80e+07,1.05e+08,9.06e+07,-5.023499,.7751446,-10.79094,,,,,,,40000,20:10:58 24 Jul 2022
2022,House,_classic,7/23/22,.152825,.847175,198.4474,236.5526,199,236,222,261,174,213,9.80e+07,1.05e+08,9.07e+07,-4.922329,.8334904,-10.61703,,,,,,,40000,20:10:44 23 Jul 2022
2022,House,_classic,7/22/22,.152375,.847625,198.4174,236.5826,199,236,222,261,174,213,9.80e+07,1.05e+08,9.06e+07,-4.93351,.7682304,-10.63692,,,,,,,40000,21:13:18 22 Jul 2022
2022,House,_classic,7/21/22,.151875,.848125,198.1851,236.8149,199,236,222,261,174,213,9.80e+07,1.05e+08,9.07e+07,-5.007458,.7945194,-10.73797,,,,,,,40000,20:11:00 21 Jul 2022
2022,House,_classic,7/20/22,.13605,.86395,197.0863,237.9136,198,237,221,263,172,214,9.80e+07,1.05e+08,9.07e+07,-5.285046,.4570942,-11.04495,,,,,,,40000,20:50:08 20 Jul 2022
2022,House,_classic,7/19/22,.12785,.87215,196.0967,238.9032,197,238,220,264,171,215,9.80e+07,1.05e+08,9.06e+07,-5.350948,.3957005,-11.16145,,,,,,,40000,20:11:34 19 Jul 2022
2022,House,_classic,7/18/22,.12675,.87325,196.0409,238.9591,197,238,220,264,171,215,9.80e+07,1.05e+08,9.07e+07,-5.386333,.4240608,-11.18669,,,,,,,40000,20:11:35 18 Jul 2022
2022,House,_classic,7/17/22,.1265,.8735,195.8615,239.1385,196,239,220,264,171,215,9.80e+07,1.05e+08,9.07e+07,-5.50951,.3051319,-11.29977,,,,,,,40000,20:10:28 17 Jul 2022
2022,House,_classic,7/16/22,.1253,.8747,195.8828,239.1172,196,239,220,264,171,215,9.80e+07,1.05e+08,9.07e+07,-5.371216,.4431438,-11.19163,,,,,,,40000,20:10:31 16 Jul 2022
2022,House,_classic,7/15/22,.128025,.871975,196.1815,238.8185,197,238,220,264,171,215,9.80e+07,1.05e+08,9.06e+07,-5.378967,.463892,-11.11324,,,,,,,40000,20:10:41 15 Jul 2022
2022,House,_classic,7/14/22,.125525,.874475,195.8388,239.1611,196,239,220,264,171,215,9.80e+07,1.05e+08,9.07e+07,-5.440426,.4155502,-11.33617,,,,,,,40000,20:29:51 14 Jul 2022
2022,House,_classic,7/13/22,.1222,.8778,195.5525,239.4474,196,239,220,265,170,215,9.89e+07,1.06e+08,9.16e+07,-5.562057,.2959061,-11.43088,,,,,,,40000,22:14:55 13 Jul 2022
2022,House,_classic,7/12/22,.1149,.8851,194.4765,240.5235,195,240,219,266,169,216,9.94e+07,1.07e+08,9.20e+07,-5.807068,.066864,-11.71163,,,,,,,40000,20:10:30 12 Jul 2022
2022,House,_classic,7/11/22,.1238,.8762,195.3224,239.6775,196,239,220,265,170,215,9.94e+07,1.07e+08,9.20e+07,-5.779743,.1378765,-11.65969,,,,,,,40000,20:11:01 11 Jul 2022
2022,House,_classic,7/10/22,.127075,.872925,195.6425,239.3574,196,239,220,265,170,215,9.94e+07,1.07e+08,9.20e+07,-5.655724,.1503544,-11.56701,,,,,,,40000,20:10:27 10 Jul 2022
2022,House,_classic,7/9/22,.129075,.870925,195.8186,239.1813,197,238,220,265,170,215,9.94e+07,1.07e+08,9.19e+07,-5.663296,.1704807,-11.52158,,,,,,,40000,20:10:36  9 Jul 2022
2022,House,_classic,7/8/22,.129825,.870175,195.6799,239.3201,196,239,220,265,170,215,9.94e+07,1.07e+08,9.21e+07,-5.671928,.2049408,-11.56331,,,,,,,40000,20:10:33  8 Jul 2022
2022,House,_classic,7/7/22,.135575,.864425,196.0961,238.9039,197,238,221,264,171,214,9.94e+07,1.07e+08,9.21e+07,-5.595001,.359499,-11.47488,,,,,,,40000,20:10:16  7 Jul 2022
2022,House,_classic,7/6/22,.136025,.863975,196.3889,238.6111,197,238,221,264,171,214,9.94e+07,1.07e+08,9.20e+07,-5.585487,.3384609,-11.43072,,,,,,,40000,20:10:27  6 Jul 2022
2022,House,_classic,7/5/22,.13085,.86915,195.8928,239.1072,196,239,220,265,170,215,9.88e+07,1.06e+08,9.15e+07,-5.627579,.2646828,-11.57313,,,,,,,40000,20:32:45  5 Jul 2022
2022,House,_classic,7/4/22,.123325,.876675,195.7666,239.2334,197,238,220,264,171,215,9.88e+07,1.06e+08,9.16e+07,-5.804413,.0499191,-11.62431,,,,,,,40000,20:44:02  4 Jul 2022
2022,House,_classic,7/3/22,.125525,.874475,195.6323,239.3677,196,239,220,265,170,215,9.88e+07,1.06e+08,9.14e+07,-5.717171,.1940899,-11.6327,,,,,,,40000,20:13:30  3 Jul 2022
2022,House,_classic,7/2/22,.1268,.8732,195.6934,239.3066,197,238,220,265,170,215,9.88e+07,1.06e+08,9.15e+07,-5.723434,.175106,-11.59142,,,,,,,40000,20:13:08  2 Jul 2022
2022,House,_classic,7/1/22,.128425,.871575,195.6877,239.3123,196,239,220,265,170,215,9.88e+07,1.06e+08,9.15e+07,-5.728966,.2329521,-11.64268,,,,,,,40000,20:13:01  1 Jul 2022
2022,House,_classic,6/30/22,.12345,.87655,195.4129,239.5871,196,239,220,265,170,215,9.88e+07,1.06e+08,9.17e+07,-5.804466,.1205254,-11.6775,,,,,,,40000,20:51:20 30 Jun 2022
2022,House,_classic,6/29/22,.1232,.8768,195.0412,239.9588,196,239,220,266,169,215,9.88e+07,1.06e+08,9.15e+07,-5.767479,.1807766,-11.69106,,,,,,,40000,22:11:20 29 Jun 2022
2022,House,_classic,6/26/22,.117525,.882475,194.7552,240.2448,195,240,219,265,170,216,9.83e+07,1.06e+08,9.10e+07,-6.007393,-.0613461,-11.961,,,,,,,40000,11:19:59 29 Jun 2022
2022,House,_classic,6/25/22,.11795,.88205,194.5455,240.4545,195,240,219,266,169,216,9.83e+07,1.06e+08,9.10e+07,-6.092873,-.1245384,-12.14098,,,,,,,40000,12:03:45 29 Jun 2022
2022,House,_classic,6/24/22,.120075,.879925,194.7589,240.2411,195,240,220,266,169,215,9.83e+07,1.06e+08,9.10e+07,-6.005772,.0026207,-11.99749,,,,,,,40000,11:37:32 29 Jun 2022
2022,House,_classic,6/22/22,.119675,.880325,194.7647,240.2352,195,240,219,265,170,216,9.83e+07,1.06e+08,9.10e+07,-6.020756,-.0359974,-11.98759,,,,,,,40000,11:38:08 29 Jun 2022
2022,House,_classic,6/21/22,.122725,.877275,195.0494,239.9506,196,239,220,266,169,215,9.83e+07,1.06e+08,9.10e+07,-5.93425,.0657558,-11.94924,,,,,,,40000,12:22:16 29 Jun 2022
2022,House,_classic,6/19/22,.12215,.87785,194.6622,240.3378,195,240,220,266,169,215,9.80e+07,1.05e+08,9.08e+07,-5.968716,.0906029,-12.02662,,,,,,,40000,11:56:12 29 Jun 2022
2022,House,_classic,6/18/22,.1216,.8784,194.7863,240.2137,195,240,220,266,169,215,9.80e+07,1.05e+08,9.07e+07,-5.968037,.1330376,-11.95498,,,,,,,40000,11:55:44 29 Jun 2022
2022,House,_classic,6/17/22,.12095,.87905,194.6971,240.3029,195,240,220,266,169,215,9.80e+07,1.05e+08,9.07e+07,-5.943272,.0962009,-11.9769,,,,,,,40000,12:40:38 29 Jun 2022
2022,House,_classic,6/15/22,.12205,.87795,194.5168,240.4832,195,240,220,267,168,215,9.80e+07,1.05e+08,9.07e+07,-6.085258,.0805817,-12.08604,,,,,,,40000,12:14:19 29 Jun 2022
2022,House,_classic,6/14/22,.118675,.881325,194.5536,240.4464,195,240,219,266,169,216,9.80e+07,1.05e+08,9.08e+07,-6.025288,.0313435,-12.15482,,,,,,,40000,12:13:39 29 Jun 2022
2022,House,_classic,6/13/22,.1229,.8771,195.0676,239.9324,196,239,220,266,169,215,9.75e+07,1.05e+08,9.02e+07,-6.051102,.026144,-12.14536,,,,,,,40000,12:58:34 29 Jun 2022
2022,House,_classic,6/11/22,.122625,.87735,195.054,239.946,196,239,220,266,169,215,9.75e+07,1.05e+08,9.02e+07,-5.995987,.0738049,-12.13494,,,,,,,40000,12:32:30 29 Jun 2022
2022,House,_classic,6/10/22,.123875,.876125,194.9599,240.04,195,240,220,266,169,215,9.75e+07,1.05e+08,9.02e+07,-5.993618,.12216,-12.12295,,,,,,,40000,12:31:52 29 Jun 2022
2022,House,_classic,6/9/22,.121425,.878575,195.0469,239.9531,196,239,220,265,170,215,9.75e+07,1.05e+08,9.02e+07,-5.934975,.1524868,-12.01903,,,,,,,40000,13:16:38 29 Jun 2022
2022,House,_classic,6/7/22,.125675,.874325,194.8592,240.1407,195,240,220,266,169,215,9.75e+07,1.05e+08,9.03e+07,-5.969868,.2039185,-12.12099,,,,,,,40000,12:50:50 29 Jun 2022
2022,House,_classic,6/6/22,.12575,.87425,195.0547,239.9453,196,239,220,265,170,215,9.76e+07,1.05e+08,9.04e+07,-5.936367,.1906281,-12.0026,,,,,,,40000,12:49:58 29 Jun 2022
2022,House,_classic,6/5/22,.1326,.8674,195.698,239.302,196,239,221,265,170,214,9.76e+07,1.05e+08,9.03e+07,-5.849171,.3306599,-11.89793,,,,,,,40000,13:34:55 29 Jun 2022
2022,House,_classic,6/3/22,.13555,.86445,195.5429,239.4571,196,239,221,266,169,214,9.76e+07,1.05e+08,9.04e+07,-5.764137,.4716091,-11.88925,,,,,,,40000,13:08:55 29 Jun 2022
2022,House,_classic,6/2/22,.1347,.8653,195.4529,239.5471,196,239,221,266,169,214,9.76e+07,1.05e+08,9.04e+07,-5.797626,.3859138,-11.99947,,,,,,,40000,13:07:40 29 Jun 2022
2022,House,_classic,6/1/22,.13545,.86455,195.6054,239.3946,196,239,221,266,169,214,9.76e+07,1.05e+08,9.02e+07,-5.800163,.3502693,-11.96933,,,,,,,40000,13:53:05 29 Jun 2022
