cycle,branch,expression,forecastdate,chamber_Dparty,chamber_Rparty,mean_seats_Dparty,mean_seats_Rparty,median_seats_Dparty,median_seats_Rparty,p90_seats_Dparty,p90_seats_Rparty,p10_seats_Dparty,p10_seats_Rparty,total_national_turnout,p90_total_national_turnout,p10_total_national_turnout,popvote_margin,p90_popvote_margin,p10_popvote_margin,simulations,timestamp
2022,Senate,_lite,6/30/22,.570675,.429325,50.0699,49.9301,50,50,55,55,45,45,7.62e+07,8.33e+07,6.92e+07,-.4508324,6.294916,-7.280525,40000,17:44:35 30 Jun 2022
2022,Senate,_lite,6/29/22,.6128,.3872,50.39485,49.60515,51,49,55,54,46,45,7.62e+07,8.33e+07,6.92e+07,-.0943642,6.716415,-6.976042,40000,22:11:20 29 Jun 2022
2022,Senate,_lite,6/26/22,.5765,.4235,50.11153,49.88847,50,50,55,54,46,45,7.58e+07,8.29e+07,6.88e+07,-.0482864,6.766439,-6.82349,40000,11:19:59 29 Jun 2022
2022,Senate,_lite,6/25/22,.57515,.42485,50.08985,49.91015,50,50,55,55,45,45,7.58e+07,8.29e+07,6.89e+07,-.0489426,6.788134,-7.004936,40000,12:03:45 29 Jun 2022
2022,Senate,_lite,6/24/22,.579,.421,50.11635,49.88365,50,50,55,54,46,45,7.58e+07,8.29e+07,6.88e+07,-.0498199,6.879044,-6.969931,40000,11:37:32 29 Jun 2022
2022,Senate,_lite,6/22/22,.5544,.4456,49.95918,50.04082,50,50,55,55,45,45,7.58e+07,8.29e+07,6.88e+07,-.3723564,6.536509,-7.310183,40000,11:38:08 29 Jun 2022
2022,Senate,_lite,6/21/22,.526125,.473875,49.66555,50.33445,50,50,54,55,45,46,7.58e+07,8.29e+07,6.88e+07,-.8957901,6.089867,-7.762733,40000,12:22:16 29 Jun 2022
2022,Senate,_lite,6/19/22,.51495,.48505,49.57685,50.42315,50,50,54,55,45,46,7.56e+07,8.27e+07,6.87e+07,-1.045761,5.891922,-8.02216,40000,11:56:12 29 Jun 2022
2022,Senate,_lite,6/18/22,.5192,.4808,49.60143,50.39857,50,50,54,55,45,46,7.56e+07,8.26e+07,6.86e+07,-1.04401,5.934839,-7.950581,40000,11:55:44 29 Jun 2022
2022,Senate,_lite,6/17/22,.51405,.48595,49.57905,50.42095,50,50,54,55,45,46,7.56e+07,8.27e+07,6.86e+07,-1.041767,5.90523,-7.949036,40000,12:40:38 29 Jun 2022
2022,Senate,_lite,6/15/22,.5233,.4767,49.67645,50.32355,50,50,54,55,45,46,7.56e+07,8.26e+07,6.86e+07,-.9587631,6.097214,-7.947115,40000,12:14:19 29 Jun 2022
2022,Senate,_lite,6/14/22,.494925,.505075,49.41718,50.58282,49,51,54,55,45,46,7.56e+07,8.27e+07,6.87e+07,-1.293297,5.658386,-8.363998,40000,12:13:39 29 Jun 2022
2022,Senate,_lite,6/13/22,.476625,.523375,49.33015,50.66985,49,51,54,55,45,46,7.52e+07,8.21e+07,6.82e+07,-1.489758,5.476433,-8.519844,40000,12:58:34 29 Jun 2022
2022,Senate,_lite,6/11/22,.468025,.531975,49.20892,50.79108,49,51,54,55,45,46,7.52e+07,8.23e+07,6.82e+07,-1.756775,5.278986,-8.793692,40000,12:32:30 29 Jun 2022
2022,Senate,_lite,6/10/22,.46675,.53325,49.20005,50.79995,49,51,54,55,45,46,7.52e+07,8.22e+07,6.82e+07,-1.752876,5.289989,-8.80925,40000,12:31:52 29 Jun 2022
2022,Senate,_lite,6/9/22,.467175,.532825,49.18975,50.81025,49,51,54,55,45,46,7.52e+07,8.23e+07,6.82e+07,-1.8242,5.111841,-8.879622,40000,13:16:38 29 Jun 2022
2022,Senate,_lite,6/7/22,.47675,.52325,49.2948,50.7052,49,51,54,55,45,46,7.52e+07,8.23e+07,6.83e+07,-1.650486,5.426947,-8.768141,40000,12:50:50 29 Jun 2022
2022,Senate,_lite,6/6/22,.4777,.5223,49.31787,50.68213,49,51,54,55,45,46,7.53e+07,8.24e+07,6.84e+07,-1.637833,5.389006,-8.6749,40000,12:49:58 29 Jun 2022
2022,Senate,_lite,6/5/22,.49025,.50975,49.42012,50.57988,49,51,54,55,45,46,7.53e+07,8.23e+07,6.82e+07,-1.466885,5.589991,-8.481773,40000,13:34:55 29 Jun 2022
2022,Senate,_lite,6/3/22,.49935,.50065,49.50397,50.49603,49,51,54,55,45,46,7.53e+07,8.24e+07,6.83e+07,-1.047646,6.139086,-8.127708,40000,13:08:55 29 Jun 2022
2022,Senate,_lite,6/2/22,.499425,.500575,49.49795,50.50205,49,51,54,55,45,46,7.53e+07,8.24e+07,6.83e+07,-1.026939,6.060925,-8.167215,40000,13:07:40 29 Jun 2022
2022,Senate,_lite,6/1/22,.4971,.5029,49.48765,50.51235,49,51,54,55,45,46,7.53e+07,8.23e+07,6.83e+07,-.9799767,6.116716,-8.091766,40000,13:53:05 29 Jun 2022
2022,Senate,_deluxe,6/30/22,.448025,.551975,49.1664,50.8336,49,51,53,54,46,47,7.62e+07,8.33e+07,6.92e+07,-.5965004,5.881435,-7.131231,40000,17:44:35 30 Jun 2022
2022,Senate,_deluxe,6/29/22,.495475,.504525,49.45985,50.54015,49,51,53,54,46,47,7.62e+07,8.33e+07,6.92e+07,-.2077103,6.349123,-6.810099,40000,22:11:20 29 Jun 2022
2022,Senate,_deluxe,6/26/22,.464325,.535675,49.30825,50.69175,49,51,53,54,46,47,7.58e+07,8.29e+07,6.88e+07,-.4278526,6.094681,-6.939075,40000,11:19:59 29 Jun 2022
2022,Senate,_deluxe,6/25/22,.466725,.533275,49.3016,50.6984,49,51,53,54,46,47,7.58e+07,8.29e+07,6.89e+07,-.4240837,6.117159,-7.095469,40000,12:03:45 29 Jun 2022
2022,Senate,_deluxe,6/24/22,.4699,.5301,49.33197,50.66803,49,51,53,54,46,47,7.58e+07,8.29e+07,6.88e+07,-.4250641,6.231825,-7.077433,40000,11:37:32 29 Jun 2022
2022,Senate,_deluxe,6/22/22,.46345,.53655,49.30153,50.69847,49,51,53,54,46,47,7.58e+07,8.29e+07,6.88e+07,-.4429054,6.153242,-7.127953,40000,11:38:08 29 Jun 2022
2022,Senate,_deluxe,6/21/22,.45635,.54365,49.27333,50.72667,49,51,53,54,46,47,7.58e+07,8.29e+07,6.88e+07,-.5014,6.180714,-7.109068,40000,12:22:16 29 Jun 2022
2022,Senate,_deluxe,6/19/22,.45095,.54905,49.2289,50.7711,49,51,53,54,46,47,7.56e+07,8.27e+07,6.87e+07,-.5320778,6.133268,-7.19483,40000,11:56:12 29 Jun 2022
2022,Senate,_deluxe,6/18/22,.4564,.5436,49.24728,50.75272,49,51,53,54,46,47,7.56e+07,8.26e+07,6.86e+07,-.5308075,6.16717,-7.141289,40000,11:55:44 29 Jun 2022
2022,Senate,_deluxe,6/17/22,.4546,.5454,49.2383,50.7617,49,51,53,54,46,47,7.56e+07,8.27e+07,6.86e+07,-.5291138,6.111517,-7.140659,40000,12:40:38 29 Jun 2022
2022,Senate,_deluxe,6/15/22,.4519,.5481,49.24503,50.75495,49,51,53,54,46,47,7.56e+07,8.26e+07,6.86e+07,-.572113,6.213951,-7.255064,40000,12:14:19 29 Jun 2022
2022,Senate,_deluxe,6/14/22,.40545,.59455,48.96487,51.03513,49,51,52,54,46,48,7.56e+07,8.27e+07,6.87e+07,-1.039173,5.607605,-7.791283,40000,12:13:39 29 Jun 2022
2022,Senate,_deluxe,6/13/22,.403325,.596675,48.97315,51.02685,49,51,52,54,46,48,7.52e+07,8.21e+07,6.82e+07,-1.025707,5.685055,-7.749998,40000,12:58:34 29 Jun 2022
2022,Senate,_deluxe,6/11/22,.404725,.595275,48.96045,51.03955,49,51,52,54,46,48,7.52e+07,8.23e+07,6.82e+07,-1.083664,5.648109,-7.813906,40000,12:32:30 29 Jun 2022
2022,Senate,_deluxe,6/10/22,.400275,.599725,48.94157,51.05843,49,51,52,54,46,48,7.52e+07,8.22e+07,6.82e+07,-1.080658,5.64879,-7.868332,40000,12:31:52 29 Jun 2022
2022,Senate,_deluxe,6/9/22,.403325,.596675,48.95452,51.04548,49,51,52,54,46,48,7.52e+07,8.23e+07,6.82e+07,-1.078678,5.571604,-7.830761,40000,13:16:38 29 Jun 2022
2022,Senate,_deluxe,6/7/22,.403675,.596325,48.9671,51.0329,49,51,52,54,46,48,7.52e+07,8.23e+07,6.83e+07,-1.036026,5.746351,-7.852434,40000,12:50:50 29 Jun 2022
2022,Senate,_deluxe,6/6/22,.405475,.594525,48.99083,51.00917,49,51,52,54,46,48,7.53e+07,8.24e+07,6.84e+07,-1.02433,5.722368,-7.772261,40000,12:49:58 29 Jun 2022
2022,Senate,_deluxe,6/5/22,.417175,.582825,49.03767,50.96233,49,51,52,54,46,48,7.53e+07,8.23e+07,6.82e+07,-.899025,5.855448,-7.620897,40000,13:34:55 29 Jun 2022
2022,Senate,_deluxe,6/3/22,.415275,.584725,49.03365,50.96635,49,51,52,54,46,48,7.53e+07,8.24e+07,6.83e+07,-.8580933,6.029684,-7.633518,40000,13:08:55 29 Jun 2022
2022,Senate,_deluxe,6/2/22,.402225,.597775,48.95317,51.04683,49,51,52,54,46,48,7.53e+07,8.24e+07,6.83e+07,-1.03249,5.764755,-7.883615,40000,13:07:40 29 Jun 2022
2022,Senate,_deluxe,6/1/22,.401925,.598075,48.9552,51.0448,49,51,52,54,46,48,7.53e+07,8.23e+07,6.83e+07,-1.029251,5.806906,-7.86866,40000,13:53:05 29 Jun 2022
2022,Senate,_classic,6/30/22,.55925,.44075,49.85088,50.14912,50,50,54,54,46,46,7.62e+07,8.33e+07,6.92e+07,.385231,6.887472,-6.1712,40000,17:44:35 30 Jun 2022
2022,Senate,_classic,6/29/22,.595925,.404075,50.05315,49.94685,50,50,54,54,46,46,7.62e+07,8.33e+07,6.92e+07,.5278893,7.104412,-6.09226,40000,22:11:20 29 Jun 2022
2022,Senate,_classic,6/26/22,.56115,.43885,49.86248,50.13752,50,50,53,54,46,47,7.58e+07,8.29e+07,6.88e+07,.302887,6.842136,-6.224846,40000,11:19:59 29 Jun 2022
2022,Senate,_classic,6/25/22,.5584,.4416,49.84298,50.15702,50,50,53,54,46,47,7.58e+07,8.29e+07,6.89e+07,.3064499,6.861156,-6.392529,40000,12:03:45 29 Jun 2022
2022,Senate,_classic,6/24/22,.56345,.43655,49.86633,50.13367,50,50,53,54,46,47,7.58e+07,8.29e+07,6.88e+07,.3051224,6.979788,-6.361845,40000,11:37:32 29 Jun 2022
2022,Senate,_classic,6/22/22,.556725,.443275,49.83337,50.1666,50,50,53,54,46,47,7.58e+07,8.29e+07,6.88e+07,.2814751,6.903742,-6.422701,40000,11:38:08 29 Jun 2022
2022,Senate,_classic,6/21/22,.54325,.45675,49.7762,50.2238,50,50,53,54,46,47,7.58e+07,8.29e+07,6.88e+07,.1925507,6.894972,-6.431183,40000,12:22:16 29 Jun 2022
2022,Senate,_classic,6/19/22,.5418,.4582,49.7381,50.2619,50,50,53,54,46,47,7.56e+07,8.27e+07,6.87e+07,.1750107,6.854578,-6.515383,40000,11:56:12 29 Jun 2022
2022,Senate,_classic,6/18/22,.544,.456,49.75725,50.24275,50,50,53,54,46,47,7.56e+07,8.26e+07,6.86e+07,.1757164,6.911047,-6.459249,40000,11:55:44 29 Jun 2022
2022,Senate,_classic,6/17/22,.5402,.4598,49.72998,50.27002,50,50,53,54,46,47,7.56e+07,8.27e+07,6.86e+07,.1767921,6.838999,-6.452168,40000,12:40:38 29 Jun 2022
2022,Senate,_classic,6/15/22,.54085,.45915,49.75523,50.24477,50,50,53,54,46,47,7.56e+07,8.26e+07,6.86e+07,.159359,6.958876,-6.537828,40000,12:14:19 29 Jun 2022
2022,Senate,_classic,6/14/22,.5142,.4858,49.59025,50.40975,50,50,53,54,46,47,7.56e+07,8.27e+07,6.87e+07,.0138016,6.672575,-6.757568,40000,12:13:39 29 Jun 2022
2022,Senate,_classic,6/13/22,.503475,.496525,49.55523,50.44477,50,50,53,54,46,47,7.52e+07,8.21e+07,6.82e+07,.0008354,6.727489,-6.743382,40000,12:58:34 29 Jun 2022
2022,Senate,_classic,6/11/22,.503425,.496575,49.52305,50.47695,50,50,53,54,46,47,7.52e+07,8.23e+07,6.82e+07,-.0815811,6.672087,-6.822891,40000,12:32:30 29 Jun 2022
2022,Senate,_classic,6/10/22,.500125,.499875,49.51162,50.48838,50,50,53,54,46,47,7.52e+07,8.22e+07,6.82e+07,-.07938,6.665751,-6.879688,40000,12:31:52 29 Jun 2022
2022,Senate,_classic,6/9/22,.50205,.49795,49.5189,50.4811,50,50,53,54,46,47,7.52e+07,8.23e+07,6.82e+07,-.0760231,6.590517,-6.851933,40000,13:16:38 29 Jun 2022
2022,Senate,_classic,6/7/22,.505625,.494375,49.55645,50.44355,50,50,53,54,46,47,7.52e+07,8.23e+07,6.83e+07,-.0160866,6.786156,-6.845871,40000,12:50:50 29 Jun 2022
2022,Senate,_classic,6/6/22,.508225,.491775,49.58318,50.41682,50,50,53,54,46,47,7.53e+07,8.24e+07,6.84e+07,.0066566,6.763279,-6.765743,40000,12:49:58 29 Jun 2022
2022,Senate,_classic,6/5/22,.519925,.480075,49.63448,50.36552,50,50,53,54,46,47,7.53e+07,8.23e+07,6.82e+07,.1189651,6.890848,-6.627779,40000,13:34:55 29 Jun 2022
2022,Senate,_classic,6/3/22,.51545,.48455,49.62663,50.37337,50,50,53,54,46,47,7.53e+07,8.24e+07,6.83e+07,.1685333,7.078745,-6.622646,40000,13:08:55 29 Jun 2022
2022,Senate,_classic,6/2/22,.5169,.4831,49.61935,50.38065,50,50,53,54,46,47,7.53e+07,8.24e+07,6.83e+07,.1780853,6.9886,-6.683662,40000,13:07:40 29 Jun 2022
2022,Senate,_classic,6/1/22,.51665,.48335,49.6258,50.3742,50,50,53,54,46,47,7.53e+07,8.23e+07,6.83e+07,.1732521,7.016474,-6.678333,40000,13:53:05 29 Jun 2022
