pollsterName,sponsor,fteGrade,methodology,startDate,endDate,population,partisan,dem,rep,cycle,endMonth
Big Village,,B,Online,10/31/2022,11/02/2022,A,,43.1,36.8,2022,11
Big Village,,B,Online,10/31/2022,11/02/2022,LV,,51.5,44.9,2022,11
Ipsos,Reuters,B-,Online,10/31/2022,11/01/2022,A,,37.0,36.0,2022,11
YouGov,Economist,B+,Online,10/29/2022,11/01/2022,RV,,48.0,48.0,2022,11
YouGov,Economist,B+,Online,10/29/2022,11/01/2022,LV,,49.0,49.0,2022,11
Morning Consult,Politico,B,Online,10/28/2022,10/31/2022,RV,,47.0,42.0,2022,10
NewsNation,,Unrated,Online,10/28/2022,10/31/2022,RV,,43.44,44.67,2022,10
YouGov,Yahoo News,B+,Online,10/27/2022,10/31/2022,RV,,46.0,44.0,2022,10
SSRS,CNN,C,Live Phone/Online,10/26/2022,10/31/2022,RV,,46.0,47.0,2022,10
SSRS,CNN,C,Live Phone/Online,10/26/2022,10/31/2022,LV,,47.0,51.0,2022,10
Morning Consult,,B,Online,10/28/2022,10/30/2022,LV,,46.0,46.0,2022,10
Cygnal,,B+,,10/28/2022,10/30/2022,LV,,46.9,50.0,2022,10
Quinnipiac University,,A-,Live Phone,10/26/2022,10/30/2022,A,,44.0,46.0,2022,10
Quinnipiac University,,A-,Live Phone,10/26/2022,10/30/2022,RV,,44.0,48.0,2022,10
Morning Consult,,B,Online,10/27/2022,10/29/2022,LV,,46.0,47.0,2022,10
YouGov,CBS News,B+,Online,10/26/2022,10/28/2022,LV,,45.0,47.0,2022,10
Morning Consult,,B,Online,10/26/2022,10/28/2022,LV,,46.0,46.0,2022,10
Data for Progress,,B,Online,10/26/2022,10/27/2022,LV,,45.0,49.0,2022,10
Tufts University,,B/C,Online,10/25/2022,10/27/2022,LV,,48.0,47.0,2022,10
Trafalgar Group,,A-,IVR/Live Phone/Online/Text,10/25/2022,10/27/2022,LV,REP,42.4,48.2,2022,10
Morning Consult,,B,Online,10/25/2022,10/27/2022,LV,,47.0,46.0,2022,10
Marist College,NPR | PBS NewsHour,A,Live Phone/Online/Text,10/24/2022,10/27/2022,RV,,46.0,46.0,2022,10
Rasmussen Reports/Pulse Opinion Research,,B,IVR/Online,10/23/2022,10/27/2022,LV,,42.0,49.0,2022,10
Big Village,,B,Online,10/24/2022,10/26/2022,A,,41.8,38.1,2022,10
Big Village,,B,Online,10/24/2022,10/26/2022,LV,,50.3,46.0,2022,10
Echelon Insights,,B/C,Online,10/24/2022,10/26/2022,LV,,48.0,46.0,2022,10
Echelon Insights,,B/C,Online,10/24/2022,10/26/2022,RV,,48.0,45.0,2022,10
Morning Consult,,B,Online,10/24/2022,10/26/2022,LV,,47.0,46.0,2022,10
"Fabrizio, Lee & Associates/Impact Research",Wall Street Journal,Unrated,Live Phone,10/22/2022,10/26/2022,RV,,44.0,46.0,2022,10
InsiderAdvantage,Center for American Greatness,B,,10/25/2022,10/25/2022,LV,,43.5,48.2,2022,10
Ipsos,Reuters,B-,Online,10/24/2022,10/25/2022,A,,34.0,32.0,2022,10
Morning Consult,,B,Online,10/23/2022,10/25/2022,LV,,48.0,46.0,2022,10
YouGov,Economist,B+,Online,10/22/2022,10/25/2022,RV,,46.1,42.3,2022,10
YouGov,Economist,B+,Online,10/22/2022,10/25/2022,LV,,49.0,45.0,2022,10
Morning Consult,,B,Online,10/22/2022,10/24/2022,LV,,48.0,46.0,2022,10
Navigator Research,,B/C,Online,10/20/2022,10/24/2022,RV,,48.0,45.0,2022,10
Suffolk University,USA Today,B+,Live Phone,10/19/2022,10/24/2022,LV,,44.9,49.4,2022,10
Ipsos,Reuters,B-,Online,10/18/2022,10/24/2022,A,,37.0,34.0,2022,10
Morning Consult,,B,Online,10/21/2022,10/23/2022,LV,,48.0,45.0,2022,10
Morning Consult,Politico,B,Online,10/21/2022,10/23/2022,RV,,47.0,42.0,2022,10
GQR,Democracy Corps,B,Online,10/19/2022,10/23/2022,RV,DEM,49.0,49.0,2022,10
Ipsos,FiveThirtyEight,B-,Online,10/13/2022,10/23/2022,A,,32.0,30.0,2022,10
Ipsos,FiveThirtyEight,B-,Online,10/13/2022,10/23/2022,LV,,49.0,48.0,2022,10
Morning Consult,,B,Online,10/20/2022,10/22/2022,LV,,47.0,45.0,2022,10
Morning Consult,,B,Online,10/19/2022,10/21/2022,LV,,47.0,45.0,2022,10
Cygnal,,B+,Online,10/19/2022,10/21/2022,LV,,46.9,48.6,2022,10
Morning Consult,,B,Online,10/18/2022,10/20/2022,LV,,47.0,45.0,2022,10
Rasmussen Reports/Pulse Opinion Research,Miranda Devine's LAPTOP FROM HELL,B,IVR/Online,10/16/2022,10/20/2022,LV,,43.0,47.0,2022,10
Emerson College,,A-,IVR/Online,10/18/2022,10/19/2022,RV,,40.7,45.6,2022,10
YouGov,UMass Amherst,B+,Online,10/17/2022,10/19/2022,A,,43.0,40.0,2022,10
Morning Consult,,B,Online,10/17/2022,10/19/2022,LV,,48.0,45.0,2022,10
The Winston Group,Winning the Issues,A/B,,10/17/2022,10/19/2022,RV,REP,46.0,44.0,2022,10
Ipsos,Reuters,B-,Online,10/17/2022,10/18/2022,A,,36.0,35.0,2022,10
YouGov,Economist,B+,Online,10/16/2022,10/18/2022,RV,,45.0,44.0,2022,10
YouGov,Economist,B+,Online,10/16/2022,10/18/2022,LV,,46.0,47.0,2022,10
Morning Consult,,B,Online,10/16/2022,10/18/2022,LV,,48.0,45.0,2022,10
Hart Research Associates/Public Opinion Strategies,NBC News,B+,Live Phone,10/14/2022,10/18/2022,RV,,47.0,46.0,2022,10
Hart Research Associates/Public Opinion Strategies,NBC News,B+,Live Phone,10/14/2022,10/18/2022,LV,,47.0,48.0,2022,10
Data for Progress,,B,Online,10/06/2022,10/18/2022,LV,,45.0,48.0,2022,10
SurveyMonkey/Penn Program on Opinion Research and Election Studies,,C,Online,09/15/2022,10/18/2022,LV,,49.0,51.0,2022,10
Morning Consult,,B,Online,10/15/2022,10/17/2022,LV,,47.0,45.0,2022,10
YouGov,Yahoo News,B+,Online,10/13/2022,10/17/2022,A,,38.0,34.0,2022,10
YouGov,Yahoo News,B+,Online,10/13/2022,10/17/2022,RV,,46.0,44.0,2022,10
Monmouth University,,A,Live Phone,10/13/2022,10/17/2022,A,,45.0,49.0,2022,10
Monmouth University,,A,Live Phone,10/13/2022,10/17/2022,RV,,44.0,50.0,2022,10
McLaughlin & Associates,,C/D,Online,10/12/2022,10/17/2022,LV,,43.0,49.0,2022,10
Morning Consult,,B,Online,10/14/2022,10/16/2022,LV,,48.0,45.0,2022,10
Morning Consult,Politico,B,Online,10/14/2022,10/16/2022,RV,,45.0,44.0,2022,10
Hart Research Associates/Public Opinion Strategies,CNBC,B+,,10/13/2022,10/16/2022,RV,,46.0,48.0,2022,10
Pew Research Center,,B/C,Online,10/10/2022,10/16/2022,RV,,41.0,40.0,2022,10
Morning Consult,,B,Online,10/13/2022,10/15/2022,LV,,48.0,45.0,2022,10
YouGov,CBS News,B+,Online,10/12/2022,10/14/2022,LV,,45.0,47.0,2022,10
Morning Consult,,B,Online,10/12/2022,10/14/2022,LV,,48.0,45.0,2022,10
Harris Poll,Harvard CAPS,B+,Online,10/12/2022,10/13/2022,RV,,50.0,50.0,2022,10
Harris Poll,Harvard CAPS,B+,Online,10/12/2022,10/13/2022,LV,,47.0,53.0,2022,10
Morning Consult,,B,Online,10/11/2022,10/13/2022,LV,,48.0,45.0,2022,10
Rasmussen Reports/Pulse Opinion Research,Miranda Devine's LAPTOP FROM HELL,B,IVR/Online,10/09/2022,10/13/2022,LV,,41.0,48.0,2022,10
Trafalgar Group,,A-,IVR/Online/Text/Live Phone,10/10/2022,10/12/2022,LV,REP,42.9,48.2,2022,10
Morning Consult,,B,Online,10/10/2022,10/12/2022,LV,,48.0,45.0,2022,10
Beacon Research/Shaw & Company Research,FOX News,A,Live Phone,10/09/2022,10/12/2022,RV,,44.0,41.0,2022,10
Siena College/The New York Times Upshot,,A+,Live Phone,10/09/2022,10/12/2022,LV,,45.47,48.51,2022,10
Siena College/The New York Times Upshot,,A+,Live Phone,10/09/2022,10/12/2022,RV,,45.6,46.2,2022,10
Ipsos,Reuters,B-,Online,10/10/2022,10/11/2022,A,,36.0,32.0,2022,10
Morning Consult,,B,Online,10/09/2022,10/11/2022,LV,,48.0,45.0,2022,10
YouGov,Economist,B+,Online,10/08/2022,10/11/2022,RV,,46.3,43.7,2022,10
YouGov,Economist,B+,Online,10/08/2022,10/11/2022,LV,,48.0,46.0,2022,10
Public Opinion Strategies,,A-,,10/07/2022,10/11/2022,LV,,45.0,43.0,2022,10
Susquehanna Polling & Research,The Federalist,B+,Live Phone,10/04/2022,10/11/2022,LV,,48.0,48.0,2022,10
Morning Consult,,B,Online,10/08/2022,10/10/2022,LV,,48.0,46.0,2022,10
Pioneer Polling/Tarrance Group,Crypto Council for Innovation,Unrated,Online,10/08/2022,10/10/2022,LV,,46.0,47.0,2022,10
AP-NORC,,Unrated,Live Phone/Online,10/06/2022,10/10/2022,A,,41.0,34.0,2022,10
Navigator Research,,B/C,Online,10/06/2022,10/10/2022,RV,,49.0,44.0,2022,10
Morning Consult,,B,Online,10/07/2022,10/09/2022,LV,,48.0,45.0,2022,10
Morning Consult,Politico,B,Online,10/07/2022,10/09/2022,RV,,46.0,42.0,2022,10
Morning Consult,,B,Online,10/06/2022,10/08/2022,LV,,47.0,45.0,2022,10
Big Village,,B,Online,10/05/2022,10/07/2022,A,,42.5,37.8,2022,10
Big Village,,B,Online,10/05/2022,10/07/2022,LV,,50.5,45.1,2022,10
Morning Consult,,B,Online,10/05/2022,10/07/2022,LV,,48.0,45.0,2022,10
TIPP Insights,Issues & Insights,A+,Online,10/05/2022,10/07/2022,RV,,43.0,42.0,2022,10
Morning Consult,,B,Online,10/04/2022,10/06/2022,LV,,48.0,45.0,2022,10
Rasmussen Reports/Pulse Opinion Research,Miranda Devine's LAPTOP FROM HELL,B,IVR/Online,10/02/2022,10/06/2022,LV,,43.0,47.0,2022,10
John Zogby Strategies,,B/C,Online,10/05/2022,10/05/2022,LV,,44.8,42.7,2022,10
Morning Consult,,B,Online,10/03/2022,10/05/2022,LV,,48.0,45.0,2022,10
SSRS,CNN,C,Live Phone/Online,09/03/2022,10/05/2022,RV,,46.0,43.0,2022,10
SSRS,CNN,C,Live Phone/Online,09/03/2022,10/05/2022,LV,,50.0,47.0,2022,10
Ipsos,Reuters,B-,Online,10/03/2022,10/04/2022,A,,33.0,32.0,2022,10
Morning Consult,,B,Online,10/02/2022,10/04/2022,LV,,49.0,44.0,2022,10
YouGov,Economist,B+,Online,10/01/2022,10/04/2022,RV,,44.7,44.0,2022,10
YouGov,Economist,B+,Online,10/01/2022,10/04/2022,LV,,47.0,46.0,2022,10
InsiderAdvantage,Center for American Greatness,B,,10/03/2022,10/03/2022,LV,,44.4,46.5,2022,10
Morning Consult,,B,Online,10/01/2022,10/03/2022,LV,,49.0,44.0,2022,10
Ipsos,Reuters,B-,Online,09/29/2022,10/03/2022,A,,37.0,34.0,2022,10
Data for Progress,,B,Online,09/16/2022,10/03/2022,LV,,45.0,47.0,2022,10
Morning Consult,,B,Online,09/30/2022,10/02/2022,LV,,49.0,44.0,2022,10
Morning Consult,Politico,B,Online,09/30/2022,10/02/2022,RV,,46.0,43.0,2022,10
Morning Consult,,B,Online,09/29/2022,10/01/2022,LV,,48.0,44.0,2022,10
Morning Consult,,B,Online,09/28/2022,09/30/2022,LV,,49.0,44.0,2022,9
Morning Consult,,B,Online,09/27/2022,09/29/2022,LV,,49.0,44.0,2022,9
Marist College,NPR,A,Live Phone/Online/Text,09/27/2022,09/29/2022,RV,,46.0,44.0,2022,9
NewsNation,,Unrated,Online,09/26/2022,09/29/2022,RV,,44.8,43.79,2022,9
Rasmussen Reports/Pulse Opinion Research,Miranda Devine's LAPTOP FROM HELL,B,IVR/Online,09/25/2022,09/29/2022,LV,,44.0,45.0,2022,9
Morning Consult,,B,Online,09/27/2022,09/28/2022,RV,,45.0,42.0,2022,9
Morning Consult,,B,Online,09/26/2022,09/28/2022,LV,,49.0,44.0,2022,9
Ipsos,Reuters,B-,Online,09/26/2022,09/27/2022,A,,37.0,32.0,2022,9
Trafalgar Group,,A-,IVR/Online/Text/Live Phone,09/25/2022,09/27/2022,LV,REP,45.6,51.3,2022,9
Morning Consult,,B,Online,09/25/2022,09/27/2022,LV,,48.0,44.0,2022,9
YouGov,Economist,B+,Online,09/24/2022,09/27/2022,RV,,43.7,44.1,2022,9
YouGov,Economist,B+,Online,09/24/2022,09/27/2022,LV,,46.0,47.0,2022,9
YouGov,Yahoo News,B+,Online,09/23/2022,09/27/2022,A,,38.0,33.0,2022,9
YouGov,Yahoo News,B+,Online,09/23/2022,09/27/2022,RV,,45.0,41.0,2022,9
Susquehanna Polling & Research,,B+,Live Phone,09/21/2022,09/27/2022,LV,,43.0,44.0,2022,9
Morning Consult,,B,Online,09/24/2022,09/26/2022,LV,,48.0,44.0,2022,9
Navigator Research,,B/C,Online,09/22/2022,09/26/2022,RV,,49.0,43.0,2022,9
Kaiser Family Foundation,,Unrated,Live Phone/Online,09/15/2022,09/26/2022,RV,,47.0,43.0,2022,9
Morning Consult,,B,Online,09/24/2022,09/25/2022,RV,,46.0,41.0,2022,9
Morning Consult,,B,Online,09/23/2022,09/25/2022,LV,,48.0,44.0,2022,9
Morning Consult,Politico,B,Online,09/23/2022,09/25/2022,RV,,45.0,43.0,2022,9
Monmouth University,,A,Live Phone,09/21/2022,09/25/2022,A,,44.0,47.0,2022,9
Monmouth University,,A,Live Phone,09/21/2022,09/25/2022,RV,,45.0,47.0,2022,9
Selzer & Co.,Grinnell College,A+,Live Phone,09/20/2022,09/25/2022,LV,,46.0,42.0,2022,9
Morning Consult,,B,Online,09/23/2022,09/24/2022,RV,,47.0,41.0,2022,9
Morning Consult,,B,Online,09/22/2022,09/24/2022,LV,,48.0,44.0,2022,9
Big Village,,B,Online,09/21/2022,09/23/2022,A,,39.3,37.8,2022,9
Big Village,,B,Online,09/21/2022,09/23/2022,RV,,45.6,41.3,2022,9
YouGov,CBS News,B+,Online,09/21/2022,09/23/2022,LV,,45.0,46.0,2022,9
Morning Consult,,B,Online,09/21/2022,09/23/2022,LV,,48.0,44.0,2022,9
Morning Consult,,B,Online,09/20/2022,09/22/2022,LV,,47.0,44.0,2022,9
Rasmussen Reports/Pulse Opinion Research,Miranda Devine's LAPTOP FROM HELL,B,IVR/Online,09/18/2022,09/22/2022,LV,,42.0,44.0,2022,9
McLaughlin & Associates,,C/D,,09/17/2022,09/22/2022,LV,,44.0,48.0,2022,9
Emerson College,,A-,IVR/Online,09/20/2022,09/21/2022,LV,,45.2,44.8,2022,9
Morning Consult,,B,Online,09/19/2022,09/21/2022,LV,,47.0,45.0,2022,9
ABC News/The Washington Post,,A+,Live Phone,09/18/2022,09/21/2022,RV,,46.0,47.0,2022,9
ABC News/The Washington Post,,A+,Live Phone,09/18/2022,09/21/2022,LV,,46.0,51.0,2022,9
Ipsos,Reuters,B-,Online,09/19/2022,09/20/2022,A,,34.0,33.0,2022,9
Morning Consult,,B,Online,09/18/2022,09/20/2022,LV,,48.0,45.0,2022,9
YouGov,Economist,B+,Online,09/17/2022,09/20/2022,RV,,45.5,40.5,2022,9
Morning Consult,,B,Online,09/17/2022,09/19/2022,LV,,48.0,44.0,2022,9
Echelon Insights,,B/C,Online,09/16/2022,09/19/2022,LV,,49.0,44.0,2022,9
Echelon Insights,,B/C,Online,09/16/2022,09/19/2022,RV,,49.0,42.0,2022,9
Premise,,Unrated,Online,09/16/2022,09/19/2022,A,,46.0,34.0,2022,9
Ipsos,FiveThirtyEight,B-,Online,09/06/2022,09/19/2022,A,,32.0,29.0,2022,9
Ipsos,FiveThirtyEight,B-,Online,09/06/2022,09/19/2022,LV,,41.0,41.0,2022,9
Morning Consult,,B,Online,09/16/2022,09/18/2022,LV,,48.0,44.0,2022,9
Morning Consult,Politico,B,Online,09/16/2022,09/18/2022,RV,,46.0,41.0,2022,9
Morning Consult,,B,Online,09/15/2022,09/17/2022,LV,,48.0,45.0,2022,9
Morning Consult,,B,Online,09/14/2022,09/16/2022,LV,,48.0,45.0,2022,9
Cygnal,,B+,Online,09/14/2022,09/16/2022,LV,,47.1,46.9,2022,9
Morning Consult,,B,Online,09/13/2022,09/15/2022,LV,,48.0,45.0,2022,9
OnMessage,Senate Opportunity Fund,B/C,Online,09/12/2022,09/15/2022,LV,REP,43.0,46.0,2022,9
Rasmussen Reports/Pulse Opinion Research,Miranda Devine's LAPTOP FROM HELL,B,IVR/Online,09/11/2022,09/15/2022,LV,,42.0,43.0,2022,9
GQR,Democracy Corps,B,Online,09/09/2022,09/15/2022,RV,DEM,50.0,47.0,2022,9
Data for Progress,,B,Online,08/29/2022,09/15/2022,LV,,45.0,47.0,2022,9
Morning Consult,,B,Online,09/12/2022,09/14/2022,LV,,48.0,45.0,2022,9
Marquette University Law School,,A/B,Online,09/07/2022,09/14/2022,A,,45.0,39.0,2022,9
Marquette University Law School,,A/B,Online,09/07/2022,09/14/2022,RV,,47.0,41.0,2022,9
Siena College/The New York Times Upshot,,A+,Live Phone,09/06/2022,09/14/2022,RV,,46.0,44.0,2022,9
Siena College/The New York Times Upshot,,A+,Live Phone,09/06/2022,09/14/2022,LV,,47.0,46.0,2022,9
Ipsos,Reuters,B-,Online,09/12/2022,09/13/2022,A,,37.0,33.0,2022,9
Morning Consult,,B,Online,09/11/2022,09/13/2022,LV,,48.0,45.0,2022,9
YouGov,Economist,B+,Online,09/10/2022,09/13/2022,RV,,43.2,39.3,2022,9
Hart Research Associates/Public Opinion Strategies,NBC News,B+,Live Phone,09/09/2022,09/13/2022,RV,,46.0,46.0,2022,9
Morning Consult,,B,Online,09/10/2022,09/12/2022,LV,,48.0,45.0,2022,9
Beacon Research/Shaw & Company Research,FOX News,A,Live Phone,09/09/2022,09/12/2022,RV,,44.0,41.0,2022,9
Ipsos,Reuters,B-,Online,09/07/2022,09/12/2022,A,,37.0,34.0,2022,9
Morning Consult,,B,Online,09/09/2022,09/11/2022,LV,,48.0,44.0,2022,9
Morning Consult,Politico,B,Online,09/09/2022,09/11/2022,RV,,47.0,42.0,2022,9
The Winston Group,Winning the Issues,A/B,,09/09/2022,09/11/2022,RV,REP,45.0,45.0,2022,9
Navigator Research,,B/C,Online,09/08/2022,09/11/2022,RV,,48.0,42.0,2022,9
Public Religion Research Institute,Brookings Institute | Carnegie Corporation of New York | Ford Foundation | Stand Together Trust | Unitarian Univarsalist Veatch Program at Shelter Rock,A/B,Online,09/01/2022,09/11/2022,A,,37.0,34.0,2022,9
Public Religion Research Institute,Brookings Institute | Carnegie Corporation of New York | Ford Foundation | Stand Together Trust | Unitarian Univarsalist Veatch Program at Shelter Rock,A/B,Online,09/01/2022,09/11/2022,RV,,37.0,36.0,2022,9
Morning Consult,,B,Online,09/08/2022,09/10/2022,LV,,48.0,44.0,2022,9
Big Village,,B,Online,09/07/2022,09/09/2022,A,,41.0,36.8,2022,9
Big Village,,B,Online,09/07/2022,09/09/2022,RV,,45.9,40.6,2022,9
Trafalgar Group,,A-,IVR/Online/Text/Live Phone,09/07/2022,09/09/2022,LV,REP,42.2,47.9,2022,9
Morning Consult,,B,Online,09/07/2022,09/09/2022,LV,,48.0,44.0,2022,9
TIPP Insights,Issues & Insights,A+,Online,09/07/2022,09/09/2022,RV,,48.0,46.0,2022,9
Harris Poll,Harvard CAPS,B+,Online,09/07/2022,09/08/2022,RV,,51.0,49.0,2022,9
Morning Consult,,B,Online,09/06/2022,09/08/2022,LV,,48.0,45.0,2022,9
Cor Services,Foundation for Government Accountability,Unrated,IVR,09/06/2022,09/08/2022,LV,,44.0,45.0,2022,9
Rasmussen Reports/Pulse Opinion Research,Miranda Devine's LAPTOP FROM HELL,B,IVR/Online,09/04/2022,09/08/2022,LV,,42.0,46.0,2022,9
Ipsos,Reuters,B-,Online,09/06/2022,09/07/2022,A,,36.0,34.0,2022,9
Morning Consult,,B,Online,09/05/2022,09/07/2022,LV,,48.0,45.0,2022,9
Echelon Insights,NetChoice,B/C,Online,08/31/2022,09/07/2022,LV,,46.0,46.0,2022,9
Morning Consult,,B,Online,09/04/2022,09/06/2022,LV,,47.0,44.0,2022,9
YouGov,Economist,B+,Online,09/03/2022,09/06/2022,RV,,44.2,37.5,2022,9
YouGov,Yahoo News,B+,Online,09/02/2022,09/06/2022,RV,,45.0,40.0,2022,9
YouGov,Yahoo News,B+,Online,09/02/2022,09/06/2022,A,,39.0,34.0,2022,9
Morning Consult,,B,Online,09/03/2022,09/05/2022,LV,,47.0,45.0,2022,9
Morning Consult,,B,Online,09/02/2022,09/04/2022,LV,,47.0,45.0,2022,9
OnMessage,Senate Opportunity Fund,B/C,Online,09/01/2022,09/03/2022,LV,REP,44.0,46.0,2022,9
Morning Consult,,B,Online,09/01/2022,09/03/2022,LV,,48.0,45.0,2022,9
Morning Consult,,B,Online,08/31/2022,09/02/2022,LV,,47.0,45.0,2022,9
InsiderAdvantage,Center for American Greatness,B,,09/01/2022,09/01/2022,LV,,44.7,43.5,2022,9
Morning Consult,,B,Online,08/30/2022,09/01/2022,LV,,48.0,45.0,2022,9
Marist College,NPR | PBS NewsHour,A,Live Phone,08/29/2022,09/01/2022,RV,,48.0,44.0,2022,9
Rasmussen Reports/Pulse Opinion Research,Miranda Devine's LAPTOP FROM HELL,B,IVR/Online,08/28/2022,09/01/2022,LV,,42.0,47.0,2022,9
Morning Consult,,B,Online,08/29/2022,08/31/2022,LV,,47.0,45.0,2022,8
Navigator Research,,B/C,Online,08/26/2022,08/31/2022,RV,,48.0,43.0,2022,8
YouGov,Economist,B+,Online,08/28/2022,08/30/2022,RV,,46.4,37.7,2022,8
Trafalgar Group,,A-,IVR/Online/Text/Live Phone,08/28/2022,08/30/2022,LV,REP,41.4,47.2,2022,8
Morning Consult,,B,Online,08/28/2022,08/30/2022,LV,,48.0,45.0,2022,8
Morning Consult,,B,Online,08/27/2022,08/29/2022,LV,,48.0,44.0,2022,8
Quinnipiac University,,A-,Live Phone,08/25/2022,08/29/2022,A,,46.0,42.0,2022,8
Quinnipiac University,,A-,Live Phone,08/25/2022,08/29/2022,RV,,47.0,43.0,2022,8
SurveyMonkey,The 19th,C,Online,08/22/2022,08/29/2022,A,,39.0,38.0,2022,8
Morning Consult,Politico,B,Online,08/26/2022,08/28/2022,RV,,47.0,42.0,2022,8
Morning Consult,,B,Online,08/26/2022,08/28/2022,LV,,48.0,44.0,2022,8
Data for Progress,,B,Online,08/12/2022,08/28/2022,LV,,45.0,46.0,2022,8
Morning Consult,,B,Online,08/25/2022,08/27/2022,LV,,48.0,45.0,2022,8
Big Village,,B,Online,08/24/2022,08/26/2022,A,,43.6,35.7,2022,8
Big Village,,B,Online,08/24/2022,08/26/2022,RV,,48.3,40.8,2022,8
YouGov,CBS News,B+,Online,08/24/2022,08/26/2022,LV,,45.0,47.0,2022,8
Morning Consult,,B,Online,08/24/2022,08/26/2022,LV,,48.0,44.0,2022,8
Morning Consult,,B,Online,08/23/2022,08/25/2022,LV,,48.0,44.0,2022,8
WPA Intelligence,,B/C,Online,08/22/2022,08/25/2022,RV,,44.0,42.0,2022,8
WPA Intelligence,,B/C,Online,08/22/2022,08/25/2022,LV,,47.0,44.0,2022,8
Rasmussen Reports/Pulse Opinion Research,Miranda Devine's LAPTOP FROM HELL,B,IVR/Online,08/21/2022,08/25/2022,LV,,42.0,47.0,2022,8
"Fabrizio, Lee & Associates/Impact Research",Wall Street Journal,Unrated,Live Phone/Online,08/17/2022,08/25/2022,RV,,47.0,44.0,2022,8
Emerson College,,A-,IVR/Online,08/23/2022,08/24/2022,RV,,43.6,44.6,2022,8
Morning Consult,,B,Online,08/22/2022,08/24/2022,LV,,47.0,45.0,2022,8
McLaughlin & Associates,,C/D,Online,08/20/2022,08/24/2022,LV,,45.0,45.0,2022,8
NewsNation,,Unrated,Online,08/22/2022,08/23/2022,RV,,42.18,44.98,2022,8
Morning Consult,,B,Online,08/21/2022,08/23/2022,LV,,47.0,45.0,2022,8
YouGov,Economist,B+,Online,08/20/2022,08/23/2022,RV,,43.7,38.5,2022,8
Morning Consult,,B,Online,08/20/2022,08/22/2022,LV,,48.0,45.0,2022,8
Echelon Insights,,B/C,Online,08/19/2022,08/22/2022,RV,,50.0,42.0,2022,8
Echelon Insights,,B/C,Online,08/19/2022,08/22/2022,LV,,48.0,44.0,2022,8
YouGov,Yahoo News,B+,Online,08/18/2022,08/22/2022,A,,38.0,33.0,2022,8
YouGov,Yahoo News,B+,Online,08/18/2022,08/22/2022,RV,,45.0,39.0,2022,8
Politico/Harvard T.H. Chan School of Public Health,,C,Live Phone/Online,08/05/2022,08/22/2022,RV,,47.0,44.0,2022,8
Morning Consult,Politico,B,Online,08/19/2022,08/21/2022,RV,,47.0,42.0,2022,8
Cygnal,,B+,Online,08/19/2022,08/21/2022,LV,,47.2,46.5,2022,8
Morning Consult,,B,Online,08/19/2022,08/21/2022,LV,,48.0,45.0,2022,8
Ipsos,Survey Center on American Life,B-,Online,08/12/2022,08/21/2022,A,,34.0,31.0,2022,8
YouGov,FiveThirtyEight | PerryUndem,B+,Online,08/10/2022,08/21/2022,LV,,49.0,45.0,2022,8
Morning Consult,,B,Online,08/18/2022,08/20/2022,LV,,48.0,45.0,2022,8
Morning Consult,,B,Online,08/17/2022,08/19/2022,LV,,47.0,45.0,2022,8
Morning Consult,,B,Online,08/16/2022,08/18/2022,LV,,48.0,44.0,2022,8
J.L. Partners,Atlantic Future Forum,B/C,Online,08/16/2022,08/18/2022,A,,45.0,41.0,2022,8
