pollsterName,fteGrade,sponsors,population,partisan,demPre,repPre,pollsPre,marginPre,demPost,repPost,pollsPost,marginPost,demChange,repChange,marginChange
YouGov,B+,Yahoo News,RV,,44.5,38.8,4,5.7,45.0,40.0,1,5.0,0.5,1.2,-0.7
YouGov,B+,Yahoo News,A,,38.2,32.2,4,6.0,39.0,34.0,1,5.0,0.8,1.8,-1.0
YouGov,B+,Economist,RV,,43.5,39.5,10,4.0,44.2,37.5,1,6.7,0.7,-2.0,2.7
Morning Consult,B,,LV,,47.6,44.7,21,2.9,47.0,45.0,1,2.0,-0.6,0.3,-0.9
Axis Research,Unrated,U.S. Chamber of Commerce,LV,REP,46.0,41.0,1,5.0,,,0,,,,
Rasmussen Reports/Pulse Opinion Research,B,Matt Palumbo's The Man Behind the Curtain: Inside the Secret Network of George Soros,LV,,42.0,47.0,1,-5.0,,,0,,,,
Monmouth University,A,,RV,,49.0,46.0,1,3.0,,,0,,,,
Morning Consult,B,Politico,RV,,45.6,42.0,9,3.6,,,0,,,,
NewsNation,Unrated,,RV,,43.0,43.8,2,-0.8,,,0,,,,
OnMessage,B/C,Senate Opportunity Fund,LV,REP,43.0,46.3,3,-3.3,,,0,,,,
Pew Research Center,B/C,,RV,,44.0,42.0,1,2.0,,,0,,,,
Quinnipiac University,A-,,A,,44.5,43.0,2,1.5,,,0,,,,
Quinnipiac University,A-,,RV,,46.0,43.5,2,2.5,,,0,,,,
Siena College/The New York Times Upshot,A+,,LV,,43.0,44.0,1,-1.0,,,0,,,,
Rasmussen Reports/Pulse Opinion Research,B,Miranda Devine's LAPTOP FROM HELL,LV,,41.0,46.9,8,-5.9,,,0,,,,
McLaughlin & Associates,C/D,Center for Security Policy,LV,REP,43.0,48.2,1,-5.2,,,0,,,,
Siena College/The New York Times Upshot,A+,,RV,,41.0,40.0,1,1.0,,,0,,,,
Suffolk University,B+,USA Today,RV,,44.3,40.1,1,4.2,,,0,,,,
The Bullfinch Group,Unrated,,A,,44.0,42.0,1,2.0,,,0,,,,
The Bullfinch Group,Unrated,,RV,,45.0,44.0,1,1.0,,,0,,,,
The Winston Group,A/B,Winning the Issues,RV,REP,47.0,41.0,1,6.0,,,0,,,,
Trafalgar Group,A-,,LV,REP,41.1,47.5,3,-6.4,,,0,,,,
YouGov,B+,CBS News,LV,,44.0,46.0,2,-2.0,,,0,,,,
Monmouth University,A,,A,,50.0,43.0,1,7.0,,,0,,,,
McLaughlin & Associates,C/D,,LV,,45.0,45.0,1,0.0,,,0,,,,
Beacon Research/Shaw & Company Research,A,FOX News,RV,,41.0,42.5,2,-1.5,,,0,,,,
Marist College,A,NPR | PBS NewsHour,RV,,48.0,41.0,1,7.0,,,0,,,,
Big Village,B,,A,,41.2,36.9,5,4.3,,,0,,,,
Big Village,B,,RV,,46.5,41.4,5,5.1,,,0,,,,
Center Street PAC,Unrated,,LV,,41.0,49.0,1,-8.0,,,0,,,,
Center Street PAC,Unrated,,RV,,41.0,45.0,1,-4.0,,,0,,,,
Cor Services,Unrated,Foundation for Government Accountability,LV,,42.0,46.0,1,-4.0,,,0,,,,
Cygnal,B+,,LV,,47.0,46.9,2,0.1,,,0,,,,
Data for Progress,B,,LV,,45.0,46.7,3,-1.7,,,0,,,,
Data for Progress,B,Climate Power 2020,LV,DEM,44.0,48.0,1,-4.0,,,0,,,,
Echelon Insights,B/C,,LV,,48.0,44.0,2,4.0,,,0,,,,
Echelon Insights,B/C,,RV,,49.5,42.0,2,7.5,,,0,,,,
Emerson College,A-,,RV,,43.5,45.0,3,-1.5,,,0,,,,
"Fabrizio, Lee & Associates/Impact Research",Unrated,Wall Street Journal,RV,,47.0,44.0,1,3.0,,,0,,,,
Greenberg Research,B,Democracy Corps,RV,DEM,50.0,48.0,1,2.0,,,0,,,,
Harris Poll,B+,Harvard CAPS,RV,,50.0,50.0,2,0.0,,,0,,,,
Hart Research Associates/Public Opinion Strategies,B+,CNBC,RV,,42.0,44.0,1,-2.0,,,0,,,,
Hart Research Associates/Public Opinion Strategies,B+,NBC News,RV,,45.0,47.0,1,-2.0,,,0,,,,
InsiderAdvantage,B,Center for American Greatness,LV,,43.0,47.5,2,-4.5,,,0,,,,
Ipsos,B-,FiveThirtyEight,A,,29.5,29.5,2,0.0,,,0,,,,
Ipsos,B-,Reuters,A,,34.5,34.0,2,0.5,,,0,,,,
Lake Research Partners/The Tarrance Group,A/B,Georgetown University Institute of Politics and Public Service,RV,,48.0,46.0,1,2.0,,,0,,,,
L̩ger,B/C,The Canadian Press,A,,35.0,31.0,1,4.0,,,0,,,,
Zogby Analytics,B-,,LV,,44.8,44.3,1,0.5,,,0,,,,
